,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US0900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",169172.0,9169.0,10067.0,11751.0,10966.0,10835.0,8767.0,9101.0,10112.0,10935.0,12635.0,10945.0,14518.0,12072.0,7030.0,7177.0,5076.0,3521.0,4495.0
79500US0900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",119239.0,6082.0,7014.0,10215.0,11978.0,8063.0,3055.0,3261.0,6441.0,6060.0,9825.0,10206.0,9579.0,8437.0,5625.0,4718.0,3343.0,2290.0,3047.0
79500US0900102,"Stamford & Greenwich Towns PUMA, CT",192496.0,10764.0,10798.0,12938.0,10279.0,12377.0,13157.0,13995.0,12952.0,12898.0,12298.0,13245.0,13393.0,11771.0,9113.0,8206.0,5210.0,4255.0,4847.0
79500US0900103,"Norwalk, Westport & Darien Towns PUMA, CT",139210.0,7761.0,8826.0,9073.0,8113.0,5388.0,7235.0,9058.0,9038.0,9663.0,9716.0,11103.0,10580.0,11040.0,7046.0,6586.0,3445.0,2913.0,2626.0
79500US3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",146164.0,7661.0,6930.0,6282.0,6543.0,8978.0,11218.0,10769.0,10469.0,11072.0,9946.0,9845.0,10976.0,8212.0,7206.0,6379.0,6066.0,3691.0,3921.0
79500US3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",106825.0,5171.0,8269.0,8338.0,6911.0,4806.0,4704.0,4502.0,4811.0,7711.0,6102.0,9091.0,9654.0,7217.0,5397.0,5111.0,3300.0,2110.0,3620.0
79500US3400601,"Hudson County (Central)--Jersey City (North) PUMA, NJ",140425.0,10180.0,6572.0,6448.0,4378.0,8644.0,19762.0,19233.0,16378.0,10115.0,7355.0,6290.0,6650.0,5538.0,4406.0,3238.0,2294.0,1105.0,1839.0
79500US3400602,"Hudson County (Central)--Jersey City (South) PUMA, NJ",117016.0,9970.0,7012.0,8400.0,7829.0,8340.0,9230.0,10198.0,7675.0,7506.0,6681.0,8114.0,5244.0,6912.0,5270.0,3449.0,2895.0,1239.0,1052.0
79500US3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA, NJ",145378.0,6095.0,6311.0,6635.0,6932.0,7515.0,13409.0,12245.0,9838.0,10966.0,11974.0,11473.0,8909.0,10360.0,7666.0,5055.0,3824.0,2887.0,3284.0
79500US3400702,"Hudson County (Northeast)--Union City & Hoboken Cities PUMA, NJ",139139.0,11194.0,7336.0,6403.0,6397.0,8822.0,19426.0,17593.0,13976.0,9805.0,6834.0,6783.0,6909.0,5297.0,3080.0,2933.0,2514.0,2266.0,1571.0
