,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US0900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",61253.0,14898.0,20884.0,9946.0,8545.0,4733.0,1534.0,713.0
79500US0900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",40060.0,8080.0,12877.0,7159.0,7026.0,3576.0,1009.0,333.0
79500US0900102,"Stamford & Greenwich Towns PUMA, CT",73567.0,19887.0,22648.0,13248.0,10708.0,5798.0,836.0,442.0
79500US0900103,"Norwalk, Westport & Darien Towns PUMA, CT",52957.0,15622.0,15535.0,8824.0,8210.0,3005.0,810.0,951.0
79500US3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",60338.0,19642.0,18515.0,10166.0,7889.0,2928.0,914.0,284.0
79500US3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",36354.0,6007.0,12630.0,5997.0,8349.0,2471.0,645.0,255.0
79500US3400601,"Hudson County (Central)--Jersey City (North) PUMA, NJ",60162.0,18172.0,21599.0,11083.0,6324.0,2061.0,697.0,226.0
79500US3400602,"Hudson County (Central)--Jersey City (South) PUMA, NJ",39626.0,10251.0,9488.0,8563.0,5887.0,3012.0,1421.0,1004.0
79500US3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA, NJ",58649.0,16901.0,18797.0,10062.0,7186.0,4012.0,854.0,837.0
79500US3400702,"Hudson County (Northeast)--Union City & Hoboken Cities PUMA, NJ",57233.0,17683.0,19146.0,9667.0,6059.0,2335.0,1557.0,786.0
79500US3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA, NJ",48254.0,14024.0,12958.0,8549.0,7018.0,2983.0,1363.0,1359.0
79500US3400901,"Middlesex County (Southeast) PUMA, NJ",47504.0,13591.0,15692.0,6819.0,7337.0,2631.0,893.0,541.0
79500US3400905,"Middlesex County (Northeast)--Carteret Borough PUMA, NJ",37704.0,8696.0,10691.0,7138.0,6427.0,2520.0,1631.0,601.0
79500US3400907,"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, NJ",38213.0,8591.0,10785.0,8559.0,5765.0,3257.0,740.0,516.0
79500US3401101,"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, NJ",44357.0,15561.0,15697.0,5206.0,4539.0,2128.0,796.0,430.0
79500US3401105,"Monmouth County (Northwest)--Keansburg Borough PUMA, NJ",39229.0,9394.0,13429.0,6883.0,6101.0,2268.0,594.0,560.0
79500US3401800,"Union County (Northeast)--Elizabeth City PUMA, NJ",40118.0,8779.0,10162.0,6606.0,9416.0,2844.0,1198.0,1113.0
79500US3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA, NJ",40796.0,11014.0,13275.0,6304.0,5914.0,2640.0,827.0,822.0
79500US3603001,"Rockland County (North)--New City & Congers PUMA, NY",35063.0,6280.0,11849.0,5808.0,7129.0,2357.0,951.0,689.0
79500US3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",36089.0,9582.0,11404.0,5536.0,4777.0,2120.0,1907.0,763.0
79500US3603101,"Putnam County PUMA, NY",36919.0,6886.0,13862.0,7053.0,5682.0,2486.0,624.0,326.0
