,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",52714.0,16546.0,21716.0,7363.0,3903.0,1776.0,1018.0,392.0
79500US1600300,"Central Idaho--Lewiston City & Nez Perce Reservation PUMA, ID",42156.0,13497.0,16928.0,3555.0,4281.0,2787.0,664.0,444.0
79500US1600400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA, ID",46682.0,10478.0,17748.0,7185.0,4410.0,3558.0,2300.0,1003.0
79500US1600500,"Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA, ID",42246.0,8602.0,13522.0,6181.0,6916.0,3884.0,1774.0,1367.0
79500US3200103,"Washoe County (North)--Sparks City PUMA, NV",55143.0,13337.0,17376.0,8743.0,7852.0,4755.0,1713.0,1367.0
79500US3200300,"Rural Nevada PUMA, NV",66166.0,19854.0,23010.0,11139.0,6308.0,2455.0,2177.0,1223.0
79500US4100100,"Umatilla, Union, Baker & Wallowa Counties PUMA, OR",47148.0,12487.0,17332.0,7046.0,4520.0,2800.0,1879.0,1084.0
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",46796.0,12623.0,17314.0,6853.0,5659.0,2499.0,791.0,1057.0
79500US4100300,"Klamath, Malheur, Lake & Harney Counties PUMA, OR",43584.0,13624.0,16239.0,5279.0,4206.0,2358.0,1394.0,484.0
79500US4100400,"Deschutes County PUMA, OR",79950.0,20745.0,33863.0,12867.0,8326.0,2903.0,647.0,599.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",68730.0,20088.0,29815.0,7378.0,7747.0,2304.0,968.0,430.0
79500US4100600,"Linn & Benton Counties PUMA, OR",83984.0,21267.0,31598.0,12421.0,9855.0,5613.0,2355.0,875.0
79500US4100703,"Lane County (West Central)--Eugene City (West & South) PUMA, OR",63304.0,19680.0,24017.0,9104.0,6254.0,2577.0,818.0,854.0
79500US4100704,"Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA, OR",48346.0,14835.0,16654.0,8311.0,4865.0,2447.0,1183.0,51.0
79500US4100705,"Lane County (Outside Eugene & Springfield Cities) PUMA, OR",44422.0,10352.0,18955.0,6137.0,4785.0,2408.0,643.0,1142.0
79500US4100800,"Josephine, Coos & Curry Counties PUMA, OR",75381.0,21630.0,31033.0,9684.0,6959.0,3264.0,1480.0,1331.0
79500US4100901,"Jackson County (Central)--Medford & Central Point Cities PUMA, OR",45672.0,12113.0,17115.0,6723.0,5361.0,2397.0,1571.0,392.0
79500US4100902,"Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA, OR",44115.0,11842.0,18622.0,4226.0,6084.0,2456.0,626.0,259.0
79500US4101000,"Douglas County PUMA, OR",45647.0,12275.0,19768.0,5952.0,4555.0,1667.0,742.0,688.0
79500US4101103,"Marion County (West Central)--Salem (North), Keizer Cities & Hayesville PUMA, OR",39286.0,9520.0,14132.0,6267.0,3710.0,3488.0,1274.0,895.0
79500US4101104,"Marion County (West Central)--Salem City (South) & Four Corners PUMA, OR",41091.0,11555.0,14350.0,6879.0,4409.0,2271.0,826.0,801.0
79500US4101105,"Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA, OR",39134.0,7409.0,14137.0,5992.0,4138.0,4165.0,2510.0,783.0
79500US4101200,"Yamhill & Polk Counties PUMA, OR",68453.0,16309.0,26697.0,9489.0,8989.0,4062.0,1959.0,948.0
79500US4101301,"Portland City (North & Northeast) PUMA, OR",48430.0,13163.0,18565.0,7797.0,5951.0,2267.0,306.0,381.0
79500US4101302,"Portland City (East) PUMA, OR",46012.0,13104.0,16668.0,5332.0,4530.0,3644.0,1813.0,921.0
79500US4101303,"Portland City (Southeast) PUMA, OR",46817.0,14506.0,15940.0,7220.0,6105.0,1847.0,470.0,729.0
79500US4101305,"Portland City (Central East) PUMA, OR",56385.0,19442.0,21389.0,8527.0,5497.0,987.0,418.0,125.0
79500US4101314,"Portland City (Northwest & Southwest) PUMA, OR",75123.0,34146.0,24538.0,7068.0,7147.0,1508.0,622.0,94.0
79500US4101316,"Multnomah County (East)--Gresham & Troutdale Cities PUMA, OR",57531.0,14882.0,18217.0,8592.0,8591.0,4115.0,1904.0,1230.0
79500US4101317,"Clackamas County (South & East)--Damascus City PUMA, OR",39704.0,7449.0,17070.0,5116.0,5321.0,2974.0,851.0,923.0
79500US4101318,"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",71012.0,16558.0,26263.0,11246.0,9415.0,5078.0,1344.0,1108.0
79500US4101319,"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",48033.0,11091.0,18703.0,6529.0,7925.0,3271.0,381.0,133.0
79500US4101320,"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA, OR",48427.0,13457.0,18459.0,6555.0,5865.0,2772.0,962.0,357.0
79500US4101321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",41658.0,8944.0,13707.0,7550.0,5986.0,2134.0,1903.0,1434.0
79500US4101322,"Washington County (Central)--Hillsboro City PUMA, OR",46407.0,11210.0,15373.0,8465.0,7311.0,2478.0,1053.0,517.0
79500US4101323,"Washington County (Central)--Beaverton City (West) & Aloha PUMA, OR",43314.0,7914.0,14058.0,10396.0,6924.0,2631.0,1104.0,287.0
79500US4101324,"Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA, OR",46074.0,14246.0,14696.0,6626.0,7304.0,1517.0,1002.0,683.0
79500US5310600,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA, WA",41611.0,11045.0,17533.0,4873.0,4166.0,2529.0,1022.0,443.0
79500US5310703,"Walla Walla, Benton (Outer) & Franklin (Outer) Counties PUMA, WA",40028.0,9325.0,15035.0,4650.0,5914.0,3222.0,885.0,997.0
79500US5311000,"Lewis, Klickitat & Skamania Counties PUMA, WA",44333.0,11830.0,16024.0,6284.0,4889.0,2548.0,1486.0,1272.0
79500US5311101,"Clark County (Southwest)--Vancouver City (West & Central) PUMA, WA",46693.0,13980.0,17622.0,7050.0,4291.0,2019.0,974.0,757.0
79500US5311103,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA, WA",41874.0,7711.0,15009.0,8319.0,5185.0,3090.0,1428.0,1132.0
79500US5311104,"Clark County (North)--Battle Ground City & Orchards PUMA, WA",43194.0,6482.0,17028.0,6153.0,6211.0,3791.0,1576.0,1953.0
79500US5311200,"Cowlitz, Pacific & Wahkiakum Counties PUMA, WA",55496.0,15631.0,21297.0,7202.0,6353.0,2782.0,1364.0,867.0
