,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41001950100,"Census Tract 9501, Baker, OR",1255.0,325.0,609.0,138.0,115.0,32.0,9.0,27.0
14000US41001950200,"Census Tract 9502, Baker, OR",1422.0,449.0,456.0,152.0,259.0,53.0,14.0,39.0
14000US41001950300,"Census Tract 9503, Baker, OR",1122.0,419.0,435.0,144.0,27.0,28.0,63.0,6.0
14000US41001950400,"Census Tract 9504, Baker, OR",1231.0,458.0,447.0,146.0,112.0,56.0,12.0,0.0
14000US41001950500,"Census Tract 9505, Baker, OR",972.0,276.0,416.0,129.0,93.0,40.0,15.0,3.0
14000US41001950600,"Census Tract 9506, Baker, OR",925.0,270.0,453.0,112.0,34.0,28.0,11.0,17.0
14000US41003000100,"Census Tract 1, Benton, OR",3208.0,738.0,1194.0,609.0,425.0,119.0,111.0,12.0
14000US41003000202,"Census Tract 2.02, Benton, OR",2217.0,515.0,1063.0,362.0,156.0,77.0,27.0,17.0
14000US41003000400,"Census Tract 4, Benton, OR",3313.0,664.0,1639.0,589.0,272.0,111.0,38.0,0.0
14000US41003000500,"Census Tract 5, Benton, OR",1384.0,351.0,574.0,183.0,236.0,36.0,0.0,4.0
14000US41003000600,"Census Tract 6, Benton, OR",2164.0,683.0,972.0,309.0,168.0,32.0,0.0,0.0
14000US41003000900,"Census Tract 9, Benton, OR",2432.0,541.0,1223.0,488.0,113.0,42.0,25.0,0.0
14000US41003001001,"Census Tract 10.01, Benton, OR",1727.0,537.0,600.0,187.0,197.0,178.0,28.0,0.0
14000US41003001002,"Census Tract 10.02, Benton, OR",1312.0,314.0,515.0,237.0,178.0,57.0,11.0,0.0
14000US41003001101,"Census Tract 11.01, Benton, OR",1367.0,659.0,264.0,171.0,84.0,154.0,35.0,0.0
14000US41003001102,"Census Tract 11.02, Benton, OR",1778.0,588.0,666.0,255.0,169.0,100.0,0.0,0.0
14000US41003010100,"Census Tract 101, Benton, OR",3427.0,782.0,1263.0,433.0,562.0,275.0,78.0,34.0
14000US41003010200,"Census Tract 102, Benton, OR",1657.0,257.0,691.0,316.0,202.0,130.0,58.0,3.0
14000US41003010300,"Census Tract 103, Benton, OR",1338.0,253.0,597.0,141.0,190.0,87.0,70.0,0.0
14000US41003010400,"Census Tract 104, Benton, OR",1491.0,374.0,582.0,254.0,113.0,92.0,30.0,46.0
14000US41003010600,"Census Tract 106, Benton, OR",1713.0,994.0,472.0,116.0,86.0,23.0,0.0,22.0
14000US41003010702,"Census Tract 107.02, Benton, OR",1090.0,332.0,469.0,136.0,100.0,19.0,34.0,0.0
14000US41003010800,"Census Tract 108, Benton, OR",1341.0,362.0,435.0,236.0,201.0,66.0,30.0,11.0
14000US41003010900,"Census Tract 109, Benton, OR",2097.0,449.0,890.0,377.0,320.0,22.0,30.0,9.0
14000US41005020100,"Census Tract 201, Clackamas, OR",1700.0,375.0,732.0,261.0,224.0,81.0,27.0,0.0
14000US41005020200,"Census Tract 202, Clackamas, OR",2846.0,846.0,1165.0,483.0,244.0,108.0,0.0,0.0
14000US41005020302,"Census Tract 203.02, Clackamas, OR",1774.0,506.0,698.0,238.0,234.0,50.0,44.0,4.0
