,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US53033000100,"Census Tract 1, King, WA",3899.0,1733.0,761.0,506.0,249.0,166.0,40.0,11.0,2166.0,1737.0,357.0,72.0,0.0,0.0,0.0,0.0,0,1737.0,1118.0,578.0,249.0,166.0,40.0,11.0
14000US53033000200,"Census Tract 2, King, WA",3693.0,2084.0,1004.0,502.0,450.0,110.0,18.0,0.0,1609.0,1135.0,375.0,99.0,0.0,0.0,0.0,0.0,0,1135.0,1379.0,601.0,450.0,110.0,18.0,0.0
14000US53033000300,"Census Tract 3, King, WA",1159.0,663.0,280.0,196.0,127.0,45.0,0.0,15.0,496.0,269.0,134.0,23.0,70.0,0.0,0.0,0.0,0,269.0,414.0,219.0,197.0,45.0,0.0,15.0
14000US53033000401,"Census Tract 4.01, King, WA",3842.0,1262.0,708.0,285.0,191.0,78.0,0.0,0.0,2580.0,2244.0,286.0,50.0,0.0,0.0,0.0,0.0,0,2244.0,994.0,335.0,191.0,78.0,0.0,0.0
14000US53033000402,"Census Tract 4.02, King, WA",2373.0,980.0,425.0,321.0,175.0,59.0,0.0,0.0,1393.0,992.0,288.0,19.0,48.0,0.0,0.0,46.0,0,992.0,713.0,340.0,223.0,59.0,0.0,46.0
14000US53033000500,"Census Tract 5, King, WA",1268.0,961.0,451.0,276.0,195.0,39.0,0.0,0.0,307.0,226.0,81.0,0.0,0.0,0.0,0.0,0.0,0,226.0,532.0,276.0,195.0,39.0,0.0,0.0
14000US53033000600,"Census Tract 6, King, WA",3431.0,1718.0,650.0,419.0,433.0,184.0,32.0,0.0,1713.0,1123.0,508.0,42.0,40.0,0.0,0.0,0.0,0,1123.0,1158.0,461.0,473.0,184.0,32.0,0.0
14000US53033000700,"Census Tract 7, King, WA",2249.0,1238.0,637.0,296.0,229.0,54.0,14.0,8.0,1011.0,715.0,202.0,16.0,37.0,41.0,0.0,0.0,0,715.0,839.0,312.0,266.0,95.0,14.0,8.0
14000US53033000800,"Census Tract 8, King, WA",1116.0,773.0,463.0,180.0,75.0,38.0,5.0,12.0,343.0,225.0,89.0,12.0,0.0,17.0,0.0,0.0,0,225.0,552.0,192.0,75.0,55.0,5.0,12.0
14000US53033000900,"Census Tract 9, King, WA",861.0,589.0,315.0,147.0,90.0,29.0,7.0,1.0,272.0,227.0,37.0,5.0,0.0,3.0,0.0,0.0,0,227.0,352.0,152.0,90.0,32.0,7.0,1.0
14000US53033001000,"Census Tract 10, King, WA",769.0,490.0,224.0,123.0,73.0,41.0,11.0,18.0,279.0,174.0,71.0,12.0,12.0,5.0,5.0,0.0,0,174.0,295.0,135.0,85.0,46.0,16.0,18.0
14000US53033001100,"Census Tract 11, King, WA",1039.0,665.0,271.0,184.0,135.0,43.0,6.0,26.0,374.0,296.0,42.0,0.0,11.0,25.0,0.0,0.0,0,296.0,313.0,184.0,146.0,68.0,6.0,26.0
14000US53033001200,"Census Tract 12, King, WA",3762.0,1360.0,706.0,322.0,214.0,107.0,11.0,0.0,2402.0,1915.0,341.0,115.0,15.0,16.0,0.0,0.0,0,1915.0,1047.0,437.0,229.0,123.0,11.0,0.0
