,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",46796.0,12623.0,17314.0,6853.0,5659.0,2499.0,791.0,1057.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",68730.0,20088.0,29815.0,7378.0,7747.0,2304.0,968.0,430.0
79500US4101105,"Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA, OR",39134.0,7409.0,14137.0,5992.0,4138.0,4165.0,2510.0,783.0
79500US4101200,"Yamhill & Polk Counties PUMA, OR",68453.0,16309.0,26697.0,9489.0,8989.0,4062.0,1959.0,948.0
79500US4101301,"Portland City (North & Northeast) PUMA, OR",48430.0,13163.0,18565.0,7797.0,5951.0,2267.0,306.0,381.0
79500US4101302,"Portland City (East) PUMA, OR",46012.0,13104.0,16668.0,5332.0,4530.0,3644.0,1813.0,921.0
79500US4101303,"Portland City (Southeast) PUMA, OR",46817.0,14506.0,15940.0,7220.0,6105.0,1847.0,470.0,729.0
79500US4101305,"Portland City (Central East) PUMA, OR",56385.0,19442.0,21389.0,8527.0,5497.0,987.0,418.0,125.0
79500US4101314,"Portland City (Northwest & Southwest) PUMA, OR",75123.0,34146.0,24538.0,7068.0,7147.0,1508.0,622.0,94.0
79500US4101316,"Multnomah County (East)--Gresham & Troutdale Cities PUMA, OR",57531.0,14882.0,18217.0,8592.0,8591.0,4115.0,1904.0,1230.0
79500US4101317,"Clackamas County (South & East)--Damascus City PUMA, OR",39704.0,7449.0,17070.0,5116.0,5321.0,2974.0,851.0,923.0
79500US4101318,"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",71012.0,16558.0,26263.0,11246.0,9415.0,5078.0,1344.0,1108.0
79500US4101319,"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",48033.0,11091.0,18703.0,6529.0,7925.0,3271.0,381.0,133.0
79500US4101320,"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA, OR",48427.0,13457.0,18459.0,6555.0,5865.0,2772.0,962.0,357.0
79500US4101321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",41658.0,8944.0,13707.0,7550.0,5986.0,2134.0,1903.0,1434.0
79500US4101322,"Washington County (Central)--Hillsboro City PUMA, OR",46407.0,11210.0,15373.0,8465.0,7311.0,2478.0,1053.0,517.0
79500US4101323,"Washington County (Central)--Beaverton City (West) & Aloha PUMA, OR",43314.0,7914.0,14058.0,10396.0,6924.0,2631.0,1104.0,287.0
79500US4101324,"Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA, OR",46074.0,14246.0,14696.0,6626.0,7304.0,1517.0,1002.0,683.0
79500US5311000,"Lewis, Klickitat & Skamania Counties PUMA, WA",44333.0,11830.0,16024.0,6284.0,4889.0,2548.0,1486.0,1272.0
79500US5311101,"Clark County (Southwest)--Vancouver City (West & Central) PUMA, WA",46693.0,13980.0,17622.0,7050.0,4291.0,2019.0,974.0,757.0
79500US5311103,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA, WA",41874.0,7711.0,15009.0,8319.0,5185.0,3090.0,1428.0,1132.0
79500US5311104,"Clark County (North)--Battle Ground City & Orchards PUMA, WA",43194.0,6482.0,17028.0,6153.0,6211.0,3791.0,1576.0,1953.0
79500US5311200,"Cowlitz, Pacific & Wahkiakum Counties PUMA, WA",55496.0,15631.0,21297.0,7202.0,6353.0,2782.0,1364.0,867.0
